ID	Gene title	Gene symbol	Gene ID	UniGene title	UniGene symbol	UniGene ID	Nucleotide Title	GI	GenBank Accession	Platform_CLONEID	Platform_ORF	Platform_SPOTID	Chromosome location	Chromosome annotation	GO:Function	GO:Process	GO:Component	GO:Function ID	GO:Process ID	GO:Component ID
1438_at	EPH receptor B3	EPHB3	2049				H.sapiens HEK2 mRNA for protein tyrosine kinase receptor	406867	X75208				3q27.1	Chromosome 3, NC_000003.12 (184561799..184582408)	ATP binding///axon guidance receptor activity///ephrin receptor activity	angiogenesis///axon guidance///axonal fasciculation///cell migration///central nervous system projection neuron axonogenesis///corpus callosum development///dendritic spine development///dendritic spine morphogenesis///digestive tract morphogenesis///ephrin receptor signaling pathway///ephrin receptor signaling pathway///palate development///peptidyl-tyrosine phosphorylation///positive regulation of synapse assembly///protein autophosphorylation///regulation of GTPase activity///regulation of axonogenesis///regulation of cell-cell adhesion///retinal ganglion cell axon guidance///substrate adhesion-dependent cell spreading///thymus development///urogenital system development	cytosol///dendrite///extracellular region///integral component of plasma membrane///plasma membrane	GO:0005524///GO:0008046///GO:0005003	GO:0001525///GO:0007411///GO:0007413///GO:0016477///GO:0021952///GO:0022038///GO:0060996///GO:0060997///GO:0048546///GO:0048013///GO:0048013///GO:0060021///GO:0018108///GO:0051965///GO:0046777///GO:0043087///GO:0050770///GO:0022407///GO:0031290///GO:0034446///GO:0048538///GO:0001655	GO:0005829///GO:0030425///GO:0005576///GO:0005887///GO:0005886
1487_at	estrogen related receptor alpha	ESRRA	2101				Human estrogen receptor-related protein (hERRa1) mRNA, 3' end, partial cds	1239956	L38487				11q13	Chromosome 11, NC_000011.10 (64305528..64316743)	DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding///protein binding///protein domain specific binding///sequence-specific DNA binding///steroid binding///steroid hormone receptor activity///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding///zinc ion binding	cartilage development///intracellular receptor signaling pathway///mitochondrion organization///negative regulation of transcription from RNA polymerase II promoter///positive regulation of cellular response to insulin stimulus///positive regulation of transcription from RNA polymerase II promoter///regulation of cell proliferation///regulation of osteoblast differentiation///regulation of osteoclast differentiation///regulation of transcription, DNA-templated///response to estradiol///steroid hormone mediated signaling pathway///transcription initiation from RNA polymerase II promoter	intercellular bridge///microtubule cytoskeleton///nucleolus///nucleoplasm///nucleus	GO:0003677///GO:0000978///GO:0004879///GO:0005515///GO:0019904///GO:0043565///GO:0005496///GO:0003707///GO:0001077///GO:0001078///GO:0008270	GO:0051216///GO:0030522///GO:0007005///GO:0000122///GO:1900078///GO:0045944///GO:0042127///GO:0045667///GO:0045670///GO:0006355///GO:0032355///GO:0043401///GO:0006367	GO:0045171///GO:0015630///GO:0005730///GO:0005654///GO:0005634
1494_f_at	cytochrome P450 family 2 subfamily A member 6	CYP2A6	1548				Human cytochrome P450IIA3 (CYP2A3) mRNA, complete cds	180986	M33318				19q13.2	Chromosome 19, NC_000019.10 (40843538..40850447, complement)	arachidonic acid epoxygenase activity///coumarin 7-hydroxylase activity///coumarin 7-hydroxylase activity///enzyme binding///heme binding///iron ion binding///oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen///steroid hydroxylase activity	coumarin catabolic process///coumarin metabolic process///coumarin metabolic process///drug metabolic process///drug metabolic process///epoxygenase P450 pathway///exogenous drug catabolic process///oxidation-reduction process///steroid metabolic process	cytoplasmic microtubule///endoplasmic reticulum membrane///organelle membrane	GO:0008392///GO:0008389///GO:0008389///GO:0019899///GO:0020037///GO:0005506///GO:0016712///GO:0008395	GO:0046226///GO:0009804///GO:0009804///GO:0017144///GO:0017144///GO:0019373///GO:0042738///GO:0055114///GO:0008202	GO:0005881///GO:0005789///GO:0031090
1552256_a_at	scavenger receptor class B member 1	SCARB1	949				Homo sapiens scavenger receptor class B member 1 (SCARB1), transcript variant 1, mRNA	132566683	NM_005505				12q24.31	Chromosome 12, NC_000012.12 (124777628..124863973, complement)	1-phosphatidylinositol binding///apolipoprotein A-I binding///apolipoprotein binding///high-density lipoprotein particle binding///high-density lipoprotein particle receptor activity///high-density lipoprotein particle receptor activity///lipopolysaccharide binding///lipopolysaccharide receptor activity///low-density lipoprotein particle binding///phosphatidylserine binding///protein binding///protein homodimerization activity///transporter activity///virus receptor activity	adhesion of symbiont to host///androgen biosynthetic process///blood vessel endothelial cell migration///cholesterol catabolic process///cholesterol efflux///cholesterol efflux///cholesterol homeostasis///cholesterol import///cholesterol import///detection of lipopolysaccharide///endothelial cell proliferation///high-density lipoprotein particle clearance///high-density lipoprotein particle remodeling///intestinal absorption///lipopolysaccharide transport///lipopolysaccharide-mediated signaling pathway///lipoprotein metabolic process///low-density lipoprotein particle clearance///phospholipid transport///positive regulation of cholesterol storage///positive regulation of endothelial cell migration///positive regulation of nitric-oxide synthase activity///positive regulation of triglyceride biosynthetic process///receptor-mediated endocytosis///recognition of apoptotic cell///regulation of phagocytosis///regulation of phosphatidylcholine catabolic process///reverse cholesterol transport///triglyceride homeostasis///viral entry into host cell///vitamin transmembrane transport///wound healing	caveola///cell surface///endocytic vesicle membrane///extracellular exosome///integral component of plasma membrane///intracellular membrane-bounded organelle///lysosomal membrane///microvillus membrane///plasma membrane///plasma membrane	GO:0005545///GO:0034186///GO:0034185///GO:0008035///GO:0070506///GO:0070506///GO:0001530///GO:0001875///GO:0030169///GO:0001786///GO:0005515///GO:0042803///GO:0005215///GO:0001618	GO:0044406///GO:0006702///GO:0043534///GO:0006707///GO:0033344///GO:0033344///GO:0042632///GO:0070508///GO:0070508///GO:0032497///GO:0001935///GO:0034384///GO:0034375///GO:0050892///GO:0015920///GO:0031663///GO:0042157///GO:0034383///GO:0015914///GO:0010886///GO:0010595///GO:0051000///GO:0010867///GO:0006898///GO:0043654///GO:0050764///GO:0010899///GO:0043691///GO:0070328///GO:0046718///GO:0035461///GO:0042060	GO:0005901///GO:0009986///GO:0030666///GO:0070062///GO:0005887///GO:0043231///GO:0005765///GO:0031528///GO:0005886///GO:0005886
1552257_a_at	tubulin tyrosine ligase like 12	TTLL12	23170				Homo sapiens tubulin tyrosine ligase like 12 (TTLL12), mRNA	296010883	NM_015140				22q13.31	Chromosome 22, NC_000022.11 (43166622..43187131, complement)	ATP binding	cellular protein modification process		GO:0005524	GO:0006464	
1552258_at	uncharacterized LOC101930489///long intergenic non-protein coding RNA 152	LOC101930489///LINC00152	101930489///112597										2p11.2	Chromosome 2///Chromosome 2, NC_000002.12 (87455455..87521518)						
1552261_at	WAP four-disulfide core domain 2	WFDC2	10406										20q13.12	Chromosome 20, NC_000020.11 (45469754..45481532)	aspartic-type endopeptidase inhibitor activity///cysteine-type endopeptidase inhibitor activity///endopeptidase inhibitor activity///serine-type endopeptidase inhibitor activity	negative regulation of endopeptidase activity///proteolysis///spermatogenesis	extracellular exosome///extracellular space	GO:0019828///GO:0004869///GO:0004866///GO:0004867	GO:0010951///GO:0006508///GO:0007283	GO:0070062///GO:0005615
1552263_at	mitogen-activated protein kinase 1	MAPK1	5594				Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA	576796259	NM_138957				22q11.21	Chromosome 22, NC_000022.11 (21759657..21867680, complement)	ATP binding///DNA binding///MAP kinase activity///RNA polymerase II carboxy-terminal domain kinase activity///identical protein binding///kinase activity///mitogen-activated protein kinase kinase kinase binding///phosphatase binding///phosphotyrosine binding///protein binding///protein serine/threonine kinase activity///protein serine/threonine kinase activity///transcription factor binding	B cell receptor signaling pathway///Bergmann glial cell differentiation///ERBB signaling pathway///ERK1 and ERK2 cascade///ERK1 and ERK2 cascade///Fc-epsilon receptor signaling pathway///Fc-gamma receptor signaling pathway involved in phagocytosis///JAK-STAT cascade involved in growth hormone signaling pathway///MAPK cascade///MAPK import into nucleus///T cell receptor signaling pathway///activation of MAPK activity///apoptotic process///axon guidance///cardiac neural crest cell development involved in heart development///caveolin-mediated endocytosis///cell cycle///cellular response to DNA damage stimulus///cellular response to granulocyte macrophage colony-stimulating factor stimulus///chemical synaptic transmission///chemotaxis///cytosine metabolic process///face development///fibroblast growth factor receptor signaling pathway///labyrinthine layer blood vessel development///lipopolysaccharide-mediated signaling pathway///long-term synaptic potentiation///lung morphogenesis///mammary gland epithelial cell proliferation///negative regulation of cell differentiation///outer ear morphogenesis///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///platelet activation///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of peptidyl-threonine phosphorylation///positive regulation of telomerase activity///positive regulation of telomere capping///positive regulation of telomere maintenance via telomerase///positive regulation of transcription, DNA-templated///positive regulation of translation///protein phosphorylation///regulation of Golgi inheritance///regulation of cellular response to heat///regulation of cytoskeleton organization///regulation of early endosome to late endosome transport///regulation of phosphatidylinositol 3-kinase signaling///regulation of protein stability///regulation of sequence-specific DNA binding transcription factor activity///regulation of stress-activated MAPK cascade///response to epidermal growth factor///response to estrogen///response to exogenous dsRNA///response to stress///response to toxic substance///sensory perception of pain///signal transduction///thymus development///thyroid gland development///trachea formation///transcription, DNA-templated///viral process	Golgi apparatus///axon///caveola///cytoplasm///cytoplasm///cytoskeleton///cytosol///dendrite cytoplasm///early endosome///extracellular exosome///focal adhesion///late endosome///microtubule cytoskeleton///microtubule organizing center///mitochondrion///mitotic spindle///nucleoplasm///nucleoplasm///nucleus///nucleus///perikaryon///protein complex///pseudopodium	GO:0005524///GO:0003677///GO:0004707///GO:0008353///GO:0042802///GO:0016301///GO:0031435///GO:0019902///GO:0001784///GO:0005515///GO:0004674///GO:0004674///GO:0008134	GO:0050853///GO:0060020///GO:0038127///GO:0070371///GO:0070371///GO:0038095///GO:0038096///GO:0060397///GO:0000165///GO:0000189///GO:0050852///GO:0000187///GO:0006915///GO:0007411///GO:0061308///GO:0072584///GO:0007049///GO:0006974///GO:0097011///GO:0007268///GO:0006935///GO:0019858///GO:0060324///GO:0008543///GO:0060716///GO:0031663///GO:0060291///GO:0060425///GO:0033598///GO:0045596///GO:0042473///GO:0018105///GO:0018107///GO:0030168///GO:0030335///GO:0008284///GO:0010800///GO:0051973///GO:1904355///GO:0032212///GO:0045893///GO:0045727///GO:0006468///GO:0090170///GO:1900034///GO:0051493///GO:2000641///GO:0014066///GO:0031647///GO:0051090///GO:0032872///GO:0070849///GO:0043627///GO:0043330///GO:0006950///GO:0009636///GO:0019233///GO:0007165///GO:0048538///GO:0030878///GO:0060440///GO:0006351///GO:0016032	GO:0005794///GO:0030424///GO:0005901///GO:0005737///GO:0005737///GO:0005856///GO:0005829///GO:0032839///GO:0005769///GO:0070062///GO:0005925///GO:0005770///GO:0015630///GO:0005815///GO:0005739///GO:0072686///GO:0005654///GO:0005654///GO:0005634///GO:0005634///GO:0043204///GO:0043234///GO:0031143
1552264_a_at	mitogen-activated protein kinase 1	MAPK1	5594				Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA	576796259	NM_138957				22q11.21	Chromosome 22, NC_000022.11 (21759657..21867680, complement)	ATP binding///DNA binding///MAP kinase activity///RNA polymerase II carboxy-terminal domain kinase activity///identical protein binding///kinase activity///mitogen-activated protein kinase kinase kinase binding///phosphatase binding///phosphotyrosine binding///protein binding///protein serine/threonine kinase activity///protein serine/threonine kinase activity///transcription factor binding	B cell receptor signaling pathway///Bergmann glial cell differentiation///ERBB signaling pathway///ERK1 and ERK2 cascade///ERK1 and ERK2 cascade///Fc-epsilon receptor signaling pathway///Fc-gamma receptor signaling pathway involved in phagocytosis///JAK-STAT cascade involved in growth hormone signaling pathway///MAPK cascade///MAPK import into nucleus///T cell receptor signaling pathway///activation of MAPK activity///apoptotic process///axon guidance///cardiac neural crest cell development involved in heart development///caveolin-mediated endocytosis///cell cycle///cellular response to DNA damage stimulus///cellular response to granulocyte macrophage colony-stimulating factor stimulus///chemical synaptic transmission///chemotaxis///cytosine metabolic process///face development///fibroblast growth factor receptor signaling pathway///labyrinthine layer blood vessel development///lipopolysaccharide-mediated signaling pathway///long-term synaptic potentiation///lung morphogenesis///mammary gland epithelial cell proliferation///negative regulation of cell differentiation///outer ear morphogenesis///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///platelet activation///positive regulation of cell migration///positive regulation of cell proliferation///positive regulation of peptidyl-threonine phosphorylation///positive regulation of telomerase activity///positive regulation of telomere capping///positive regulation of telomere maintenance via telomerase///positive regulation of transcription, DNA-templated///positive regulation of translation///protein phosphorylation///regulation of Golgi inheritance///regulation of cellular response to heat///regulation of cytoskeleton organization///regulation of early endosome to late endosome transport///regulation of phosphatidylinositol 3-kinase signaling///regulation of protein stability///regulation of sequence-specific DNA binding transcription factor activity///regulation of stress-activated MAPK cascade///response to epidermal growth factor///response to estrogen///response to exogenous dsRNA///response to stress///response to toxic substance///sensory perception of pain///signal transduction///thymus development///thyroid gland development///trachea formation///transcription, DNA-templated///viral process	Golgi apparatus///axon///caveola///cytoplasm///cytoplasm///cytoskeleton///cytosol///dendrite cytoplasm///early endosome///extracellular exosome///focal adhesion///late endosome///microtubule cytoskeleton///microtubule organizing center///mitochondrion///mitotic spindle///nucleoplasm///nucleoplasm///nucleus///nucleus///perikaryon///protein complex///pseudopodium	GO:0005524///GO:0003677///GO:0004707///GO:0008353///GO:0042802///GO:0016301///GO:0031435///GO:0019902///GO:0001784///GO:0005515///GO:0004674///GO:0004674///GO:0008134	GO:0050853///GO:0060020///GO:0038127///GO:0070371///GO:0070371///GO:0038095///GO:0038096///GO:0060397///GO:0000165///GO:0000189///GO:0050852///GO:0000187///GO:0006915///GO:0007411///GO:0061308///GO:0072584///GO:0007049///GO:0006974///GO:0097011///GO:0007268///GO:0006935///GO:0019858///GO:0060324///GO:0008543///GO:0060716///GO:0031663///GO:0060291///GO:0060425///GO:0033598///GO:0045596///GO:0042473///GO:0018105///GO:0018107///GO:0030168///GO:0030335///GO:0008284///GO:0010800///GO:0051973///GO:1904355///GO:0032212///GO:0045893///GO:0045727///GO:0006468///GO:0090170///GO:1900034///GO:0051493///GO:2000641///GO:0014066///GO:0031647///GO:0051090///GO:0032872///GO:0070849///GO:0043627///GO:0043330///GO:0006950///GO:0009636///GO:0019233///GO:0007165///GO:0048538///GO:0030878///GO:0060440///GO:0006351///GO:0016032	GO:0005794///GO:0030424///GO:0005901///GO:0005737///GO:0005737///GO:0005856///GO:0005829///GO:0032839///GO:0005769///GO:0070062///GO:0005925///GO:0005770///GO:0015630///GO:0005815///GO:0005739///GO:0072686///GO:0005654///GO:0005654///GO:0005634///GO:0005634///GO:0043204///GO:0043234///GO:0031143
1552266_at	ADAM metallopeptidase domain 32	ADAM32	203102				Homo sapiens ADAM metallopeptidase domain 32 (ADAM32), transcript variant 1, mRNA	929524262	NM_145004				8p11.22	Chromosome 8, NC_000008.11 (39107529..39284917)	metalloendopeptidase activity///zinc ion binding	proteolysis	integral component of membrane	GO:0004222///GO:0008270	GO:0006508	GO:0016021
AFFX-TrpnX-M_at												--Control								
